国立天文台水沢VLBI観測所（旧緯度観測所）,〒023-0861　岩手県奥州市水沢区星ガ丘町2番12号観光,明治31年(1898)、国際測地学協会総会で、世界共同の緯度観測所が北緯39度8分の線上に6ヶ所置かれ、日本では水沢が選ばれた。翌32年に開所して依頼、対戦中も水沢の観測所だけは休むことなく観測を続け、緯度・経度の観測に加え、総合的な天文学研究を行っている。
御所湖とシオンの像,〒020-0055　岩手県盛岡市つなぎ観光,周囲は広々とした公園で、スイミングセンター、のりもの広場などがある。湖畔のシオンの像は紫苑菊（しおんぎく）から名付けられた少女像で、雫石川を堰きとめ、人造湖の御所湖が造られたことを記念して制作されたもので、繋温泉のシンボルとして親しまれている。シオンの像と一緒に記念撮影しよう。
網張温泉,〒020-0501　岩手県岩手郡雫石町長山字小松倉14-3観光,ビックゲレンデが多い北東北エリアでは、比較的コンパクトですが、コースそれぞれに個性があり、すべり応えは十分です。初心者から上級者まで楽しめるスキー場、標高が比較的高いことから雪質のよさも自慢です。温泉のある休暇村岩手網張温泉もすぐ隣り、ゲレンデ、温泉グルメが便利です。
御所湖,〒020-0055　岩手県盛岡市繋観光,御所湖は、上流から流れ込む雫石川をせきとめてつくられた、巨大な人造湖です。湖周囲はレジャーやスポーツのメッカ。湖上ではウインドサーフィンやボートセイリングが盛んに行われ、周辺にはプールや釣りなどのスポーツが楽しめる施設もあり、総合レジャースポットとして親しまれています。
ゆこたんの森,〒020-0585　岩手県岩手郡雫石町長山猫沢3-6観光,すべての基本情報を見る
道の駅かわさき　川の灯,〒029-0202　岩手県一関市川崎町薄衣字法道地42-3観光,平成15年4月オープンした国道284号初の道の駅。周辺市町村の特産品や新鮮な農産物を販売する「ふれあいドンと館」も併設されている。
遠野ふるさと村,〒028-0661　岩手県遠野市附馬牛町上附馬牛5-89-1観光,懐かしい農村を再現した場所。のどかな風景の中でさまざまな“農村体験”ができます。
ワインシャトー大迫,〒028-3203　岩手県花巻市大迫町大迫10-18-3観光,ぶどうの収穫からワイン醸造までの行程をパネルやモニターなどで紹介するコーナーや、町で生産しているワインの試飲、即売コーナーがあるワインのミニ博物館。
盛岡城跡,〒020-0023　岩手県盛岡市内丸1-37観光,三戸城主南部信直が慶長３年（１５９８）ごろ着工，子の利直のとき三戸より移る。城が完成したのはその子重直の時代，寛永１０年（１６３３）という。南部氏が累代在城して明治維新までつづいた。現在，石垣と堀を残している。また城跡は岩手公園になっており，内堀・石垣に往時を偲ぶだけである，松や桜の多い園内は，市民の散策の場となっている。◎南部信直（１５４６-９９）近世南部氏の藩祖。戦国末期，豊臣秀吉に仕え本領を守る。盛岡城を築城した。
台温泉,〒025-0305　岩手県花巻市台観光,花巻温泉から台川沿いに約2ｋｍ入った三方を山に囲まれたところにある。今も十数ヵ所の源泉からこんこんと湧き出る効能豊かなお湯。14世紀開湯の古い歴史をもつ湯治場の雰囲気を楽しみながら、散策してみるのも風情があります。
小袖海女センター,〒028-8111　岩手県久慈市宇部町第24地割110-2観光,北限の海女の拠点施設。奇岩と怪石が連なる美しい小袖海岸の先にある海女センター。この海女センターそばの海岸では、磯のウニを素潜りで採る海女の実演も見学することができます。
五百羅漢,〒028-0524　岩手県遠野市新町観光,愛宕神社背後の谷あいに、羅漢像を線彫りした自然石が無数に並んでいる。相次ぐ凶作で餓死した人々の霊を供養するため，南部家の菩提寺大慈寺19代義山和尚が刻んだものと伝えられる。
道の駅　くじ,〒028-0056　岩手県久慈市中町2-5-6観光,中心市街地にある道の駅で、観光交流センター「風の館」と物産館等「土の館」との複合施設「土風館」からなっています。
めがね橋,〒028-0304　岩手県遠野市宮守町下宮守観光,正式名称は「宮守川橋梁」。宮沢賢治の名作「銀河鉄道の夜」のモチーフにもなったと言われ、ライトアップされた姿は見る人を幻想的な世界へと誘う。
岩手高原スノーパーク,〒020-0500　岩手県岩手郡雫石町長山岩手山観光,"岩手高原スノーパークは初級者から上級者まで楽しめるゲレンデです。センタープラザ内施設も充実しています。楽しいイベントもシーズン通して盛り沢山。料金もお得な｢手ぶらでパック｣は8時間券にスキーorボードセットとウエアで大人7,000円、学生6,500円、シニア6,000円(要予約)です。"
雫石スキー場,〒020-0501　岩手県岩手郡雫石町高倉温泉観光,緩・中・急斜面と変化に富んだ各コースは、初級者から上級者まで楽しめます。特に4.5kmダウンヒルコースは滑り応え充分です。
新安比温泉,〒028-7533　岩手県八幡平市叺田43-1観光,地下約９４５ｍから湧き出る温泉は毎分７０〜８０リットルで５３度。メタホウ酸鉄分などをふくむ食塩泉。
高館（義経堂）,〒029-4102　岩手県西磐井郡平泉町柳御所14観光,すべての基本情報を見る
御所湖川村美術館,〒020-0572　岩手県岩手郡雫石町西安庭第11-55-6観光,おもに油彩画の展示。ロシア・ポーランド・ハンガリーなどの国々の作品約２５点程展示されています。森も湖も、風も光も、鳥たちまでも、すべてをアートに染めてくれます。いつでも誰とでも素直に感じあえる、そんな気持ちでご覧頂けるよう国際的に評価の高い作品はもちろん、個性的な創作活動を続ける人々にもできるだけ開放し、地域の文化創造の一助にと考えています。
岩手銀行（旧盛岡銀行）旧本店本館,〒020-0871　岩手県盛岡市中ノ橋通1-2-20観光,赤煉瓦造りに緑のドームとルネッサンス風の輪郭の厳格さを現わしており，当時の洋風建築の特徴をほぼ完全な姿で伝えている。内部には付け柱を用い、天井に石膏モチーフを施す等豪かな内装が明治期の銀行建築の姿を良く示している。　設計は東京駅でも知られる、辰野・葛西建築設計事務所による。辰野金吾が設計した建築としては東北地方に唯一残る作品でもあり、昭和５２年１月２０日に盛岡市保存建造物に指定された。平成24年８月３日銀行としての営業を終了した。
中津川,〒020-0001　岩手県盛岡市観光,北上川の支流河川です。岩神山、阿部舘山などの沢に源を発し、本川（旧弥清川）が米内川と合流、盛岡市内を貫流して北上川に入る中小暖流河川。盛岡市内中心部を静かに流れ，京の鴨川にもたとえられ、夏には鮎つりができ、秋には鮭がのぼり、冬は白鳥が羽を休めます。市内中心部の河川敷には遊歩道が整備され四季折々の表情を間近で感じることができる、盛岡を代表する景観のひとつです。
高松公園の桜,〒020-0114　岩手県盛岡市高松1丁目26-1観光,日本の桜の名所100選に選ばれている。周囲約2キロメートルほどの高松の池を中心に桜と松林に囲まれた美しい公園。池は盛岡城を造営する際に、治水のために掘られた人造湖で、桜は日露戦争の戦勝記念に植えられた。池の周囲は散歩道も整備されており、岩手山の雄大な姿が借景となり水面に映る千本桜は大変美しい。ボートにのって湖面から花を愛でるのも優雅な楽しみである。また、毎年開催される「盛岡さくらまつり」期間中には、夜にぼんぼりが点灯、屋台も多く立ち並び夜桜見物のポイントとしても有名。
山の神温泉　優香苑,〒025-0253　岩手県花巻市下シ沢字中野53番地1観光,平成25年4月に「幸迎館」から生まれ変わりました。とろりとした温泉は、花巻温泉郷の中でも珍しく、源泉掛け流しの大浴場と星空が堪能できる露天風呂が自慢の宿。
岩山公園,〒020-0803　岩手県盛岡市新庄字岩山50-6観光,石川啄木の銅像と歌碑10点，遊園地，スキー場がある。近くの岩山展望は，標高３４１ｍの頂上に立っており，盛岡市を一望し，背後には岩手山が見える。姫神山・早池峰山などの峰を連ねる北上山地や，駒が岳などの奥羽山地もよく望まれている。夜景は、日本夜景遺産に選定。
安比高原温泉郷,〒028-7595　岩手県岩手郡安代町安比高原観光,安比は県北を代表する温泉地。点在する７つの温泉のほとんどが、肌をきれいにするといわれている弱アルカリ性で、美顔、美肌、美人の湯と形容されている。全ての湯で日帰り入浴可能なので、温泉のはしごも楽しめる。アウトドア・レジャーの後には、疲れた体をリフレッシュしてくれそう。料金要問合せ。
鳥越観音,〒028-5313　岩手県二戸郡一戸町鳥越字宮古沢観光,50mの絶壁の洞窟に慈覚大師作の観音像を安置。糠部三十三観音巡礼の29番札所で、霊験あらたかな観音霊場として昔から多くの参拝者が訪れている。
安比高原牧場,〒028-7557　岩手県八幡平市安比高原観光,軽食や牧場の乳製品を使ったスイーツが楽しめるティールームのほか、リードを外して遊べる愛犬ひろば、ウサギやヤギと触れ合える動物コーナー、釣り堀、引き馬、パークゴルフなど牧場ののどかなアクティビティが楽しめる。
龍泉新洞科学館,〒027-0501　岩手県下閉伊郡岩泉町岩泉字神成観光,全洞を自然洞穴科学館として洞穴学、地質学、生物学、古生物、考古学等貴重な資料が展示されている。
満蔵寺,〒029-2311　岩手県気仙郡住田町世田米字本町観光,一直線に並ぶ石門、山門は旧郡内随一。
光勝寺,〒029-2311　岩手県気仙郡住田町世田米字鉢ヶ森観光,本尊外２像、岩手県指定文化財あり。
砂鉄川,〒029-0302　岩手県一関市東山町観光,すべての基本情報を見る
旧東北砕石工場,〒029-0303　岩手県一関市東山町松川字滝ノ沢観光,産業近代化遺産として登録されたこの施設は，宮沢賢治が晩年，技師として活躍した工場です。７５１平方ｍ（床面積）。
幽玄洞,〒029-0302　岩手県一関市東山町長坂字東本町154-1観光,化石の宝庫（ウミユリの本体の化石）・地底湖などがある鍾乳洞
猊鼻渓,〒029-0302　岩手県一関市東山町長坂字町375 げいび観光センター観光,北上川の支流・砂鉄川両岸に巨岩・絶壁の連なる約2ｋｍの渓谷を舟下りで楽しめる。大正14年に名勝に指定され、日本百景のひとつに数えられる。史蹟名勝天然記念物。
柳之御所資料館,〒029-4102　岩手県西磐井郡平泉町平泉字加羅楽108-1観光,柳之御所遺跡から出土した陶器、土器などの貴重な遺物を展示するとともに文化遺産をいかした平泉のまちづくりの紹介。
白山神社,〒029-4102　岩手県西磐井郡平泉町平泉字衣関173観光,野外能舞台（国指定重要文化財）がある。
柳之御所遺跡,〒029-4102　岩手県西磐井郡平泉町平泉字柳御所地内観光,平安末期に東北を支配した奥州藤原氏の居館のあった「平泉館」と推定されている。現在、発掘調査と復元整備が行われており、堀・橋・道・堀・池跡などの遺構が見つかっている。
祭畤温泉,〒021-0101　岩手県一関市厳美町祭畤32観光,すべての基本情報を見る
一関市博物館,〒021-0101　岩手県一関市厳美町字沖野々215観光,常設展示-舞草刀と刀剣　玄沢と蘭学　文彦と言海　一関と和算
北上川,〒021-0001　岩手県一関市観光,岩手県のシンボルともいえる詩情豊かな東北第一の河川。御堂観音の境内に源を発し，啄木等を育んだ。
